group,team,points
A,New Zealand,1699.70
A,Norway,1908.25
A,Philippines,1512.97
A,Switzerland,1765.9
C,Costa Rica,1596.94
C,Japan,1916.68
C,Spain,2002.28
C,Zambia,1298.31
E,Netherlands,1980.47
E,Portugal,1745.13
E,USA,2090.03
E,Vietnam,1648.89
G,Argentina,1682.45
G,Italy,1846.5
G,South Africa,1471.52
G,Sweden,2049.71
B,Australia,1919.69
B,Canada,1996.34
B,Nigeria,1554.94
B,Republic of Ireland,1743.59
D,China PR,1854.49
D,Denmark,1866.25
D,England,2040.76
D,Haiti,1475.33
F,Brazil,1995.3
F,France,2026.65
F,Jamaica,1536.81
F,Panama,1482.51
H,Colombia,1702.64
H,Germany,2061.56
H,Korea Republic,1840.27
H,Morocco,1334.08
